Fragment ID,Timepoint,Treatment,Temperature,T-T,dry_mass_mg,dry_mass_g,surface_area_cm2
P-5-14,T2,G,AMB,G-AMB,130.7,0.1307,17.962516
P-5-26,T2,C,HEAT,C-HEAT,130.1,0.1301,24.008937
P-5-27,T2,I,HEAT,I-HEAT,207.85,0.20785,33.344945
P-5-28,T2,G,HEAT,G-HEAT,134.55,0.13455,29.422642
P-5-29,T2,E,HEAT,E-HEAT,213.05,0.21305,22.516769
P-5-30,T2,E,AMB,E-AMB,183.7,0.1837,27.897153
P-5-4,T2,C,AMB,C-AMB,157.1,0.1571,19.801299
P-5-9,T2,I,AMB,I-AMB,114.15,0.11415,35.880022
P-6-19,T2,E,AMB,E-AMB,139.75,0.13975,34.607313
P-6-26,T2,C,HEAT,C-HEAT,199.9,0.1999,21.230655
P-6-27,T2,I,HEAT,I-HEAT,286.55,0.28655,41.863631
P-6-28,T2,G,HEAT,G-HEAT,150.65,0.15065,33.535296
