"","Frag.ID","Timepoint","Date","Treatment","Temperature","T.T","Weight","Temp","Salinity","sw_dens","skel_dens","dry_weight.g"
"122","M-8-22",0,"7/20/2023","C","HEAT","C-HEAT",9.142,25.1,53,1.03698865967124,2.93,14.1499733410726
"123","M-8-23",0,"7/20/2023","I","HEAT","I-HEAT",9.368,25.1,53,1.03698865967124,2.93,14.4997757885767
"124","M-8-24",0,"7/20/2023","G","HEAT","G-HEAT",8.83,25.1,53,1.03698865967124,2.93,13.6670602277041
"125","M-8-25",0,"7/20/2023","E","HEAT","E-HEAT",10.196,25.1,53,1.03698865967124,2.93,15.7813528971315
"126","M-8-5",0,"7/20/2023","C","HEAT","C-HEAT",9.926,25.1,53,1.03698865967124,2.93,15.3634473182549
"127","M-8-6",0,"7/20/2023","I","AMB","I-AMB",10.138,26.4,53.1,1.03663275902499,2.93,15.6886310046768
"128","M-8-7",0,"7/20/2023","I","AMB","I-AMB",11.603,26.4,53.1,1.03663275902499,2.93,17.9557294877949
"129","M-9-1",0,"7/20/2023","C","AMB","C-AMB",9.531,26.4,53.1,1.03663275902499,2.93,14.7492939539924
"130","M-9-10",0,"7/20/2023","I","HEAT","I-HEAT",7.696,25.1,53,1.03698865967124,2.93,11.9118567964225
"131","M-9-11",0,"7/20/2023","G","AMB","G-AMB",7.185,26.4,53.1,1.03663275902499,2.93,11.1188413660094
"132","M-9-12",0,"7/20/2023","G","AMB","G-AMB",8.756,26.4,53.1,1.03663275902499,2.93,13.5499756438104
"133","M-9-15",0,"7/20/2023","G","HEAT","G-HEAT",7.384,25.1,53,1.03698865967124,2.93,11.428943683054
"134","M-9-16",0,"7/20/2023","E","AMB","E-AMB",9.509,26.4,53.1,1.03663275902499,2.93,14.7152487890582
"135","M-9-17",0,"7/20/2023","E","AMB","E-AMB",9.564,26.4,53.1,1.03663275902499,2.93,14.8003617013937
"136","M-9-2",0,"7/20/2023","C","AMB","C-AMB",8.95,26.4,53.1,1.03663275902499,2.93,13.8501920982302
