Date,Time,TANK,LIGHT (PAR)
7/26/2023,15:45,MCAP AMB,66.4
7/26/2023,16:00,MCAP AMB,62.8
7/26/2023,16:15,MCAP AMB,84.9
7/26/2023,16:30,MCAP AMB,64.5
7/26/2023,16:45,MCAP AMB,56.8
7/26/2023,17:00,MCAP AMB,52.3
7/26/2023,17:15,MCAP AMB,42.6
7/26/2023,17:30,MCAP AMB,35.4
7/26/2023,17:45,MCAP AMB,35.9
7/26/2023,18:00,MCAP AMB,27.5
7/26/2023,18:15,MCAP AMB,19.2
7/26/2023,18:30,MCAP AMB,7.9
7/26/2023,18:45,MCAP AMB,6.2
7/26/2023,19:00,MCAP AMB,3.2
7/26/2023,19:15,MCAP AMB,1.1
7/26/2023,19:30,MCAP AMB,0.2
7/26/2023,19:45,MCAP AMB,0
7/26/2023,20:00,MCAP AMB,0
7/26/2023,20:15,MCAP AMB,0
7/26/2023,20:30,MCAP AMB,0
7/26/2023,20:45,MCAP AMB,0
7/26/2023,21:00,MCAP AMB,0
7/26/2023,21:15,MCAP AMB,0
7/26/2023,21:30,MCAP AMB,0
7/26/2023,21:45,MCAP AMB,0
7/26/2023,22:00,MCAP AMB,0
7/26/2023,22:15,MCAP AMB,0
7/26/2023,22:30,MCAP AMB,0
7/26/2023,22:45,MCAP AMB,0
7/26/2023,23:00,MCAP AMB,0
7/26/2023,23:15,MCAP AMB,0
7/26/2023,23:30,MCAP AMB,0
7/26/2023,23:45,MCAP AMB,0
7/26/2023,0:00,MCAP AMB,0
7/27/2023,0:15,MCAP AMB,0
7/27/2023,0:30,MCAP AMB,0
7/27/2023,0:45,MCAP AMB,0
7/27/2023,1:00,MCAP AMB,0
7/27/2023,1:15,MCAP AMB,0
7/27/2023,1:30,MCAP AMB,0
7/27/2023,1:45,MCAP AMB,0
7/27/2023,2:00,MCAP AMB,0
7/27/2023,2:15,MCAP AMB,0
7/27/2023,2:30,MCAP AMB,0
7/27/2023,2:45,MCAP AMB,0
7/27/2023,3:00,MCAP AMB,0
7/27/2023,3:15,MCAP AMB,0
7/27/2023,3:30,MCAP AMB,0
7/27/2023,3:45,MCAP AMB,0
7/27/2023,4:00,MCAP AMB,0
7/27/2023,4:15,MCAP AMB,0
7/27/2023,4:30,MCAP AMB,0
7/27/2023,4:45,MCAP AMB,0
7/27/2023,5:00,MCAP AMB,0
7/27/2023,5:15,MCAP AMB,0
7/27/2023,5:30,MCAP AMB,0
7/27/2023,5:45,MCAP AMB,0
7/27/2023,6:00,MCAP AMB,0.1
7/27/2023,6:15,MCAP AMB,1.4
7/27/2023,6:30,MCAP AMB,5.6
7/27/2023,6:45,MCAP AMB,13.3
7/27/2023,7:00,MCAP AMB,17.2
7/27/2023,7:15,MCAP AMB,25.1
7/27/2023,7:30,MCAP AMB,32.4
7/27/2023,7:45,MCAP AMB,157.4
7/27/2023,8:00,MCAP AMB,122.7
7/27/2023,8:15,MCAP AMB,38.1
7/27/2023,8:30,MCAP AMB,45.7
7/27/2023,8:45,MCAP AMB,61.3
